,Title,Year,Rating
0,The Devil All the Time,(2020),7.2
1,Raised by Wolves,(2020– ),8.5
2,Ratched,(2020– ),7.6
3,Des,(2020– ),8.0
4,I'm Thinking of Ending Things,(2020),6.7
5,Lovecraft Country,(2020– ),7.3
6,Criminal: UK,(2019– ),7.5
7,Antebellum,(2020),5.5
8,Supernatural,(2005–2020),8.4
9,The Walking Dead,(2010– ),8.2
10,Breaking Bad,(2008–2013),9.5
