,Title,Year,Rating
0,The Boys,(2019– ),8.7
1,The Devil All the Time,(2020),7.2
2,Ratched,(2020– ),7.6
3,Lucifer,(2016– ),8.2
4,Des,(2020– ),8.0
5,Criminal: UK,(2019– ),7.5
6,Breaking Bad,(2008–2013),9.5
7,Criminal Minds,(2005–2020),8.1
8,Peaky Blinders,(2013– ),8.8
9,Fargo,(2014– ),8.9
10,Dark,(2017–2020),8.8
11,The Fall,(I) (2013–2016),8.2
12,Young Wallander,(2020– ),6.7
13,Knives Out,(2019),7.9
14,The Batman,(2021),
15,Ozark,(2017– ),8.4
16,Enola Holmes,(2020),
